날짜,설비 이름,모델,ROLL,Bar 번호,Bar 등급,마진율 (%),최대이탈값,FP1 최소 W 마진율 (%),FP1 최소 L 마진율 (%),FP2 최소 W 마진율 (%),FP2 최소 L 마진율 (%),FP3 최소 W 마진율 (%),FP3 최소 L 마진율 (%),FP4 최소 W 마진율 (%),FP4 최소 L 마진율 (%),FP5 최소 W 마진율 (%),FP5 최소 L 마진율 (%),FP6 최소 W 마진율 (%),FP6 최소 L 마진율 (%)
2026-03-13,5C68,CL05B103KB54PCM,ALC1830BAP,0,A,77.6,26.2,86.3,87.3,87.5,,85.1,95.4,90.6,94.5,,,85.1,93.5
2026-03-13,5C68,CL05B103KB54PCM,ALC1830BAP,1,B,73.6,26.2,87.3,93.1,90.3,90.7,90.9,95.6,92.0,89.9,,92.0,95.6,87.1
2026-03-13,5C68,CL05B103KB54PCM,ALC1830BAP,2,A,87.4,5.8,88.1,,87.1,,91.5,90.0,89.5,96.4,86.2,88.1,93.3,87.0
