날짜,설비 이름,모델,ROLL,Bar 번호,Bar 등급,마진율 (%),최대이탈값,FP1 최소 W 마진율 (%),FP1 최소 L 마진율 (%),FP2 최소 W 마진율 (%),FP2 최소 L 마진율 (%),FP3 최소 W 마진율 (%),FP3 최소 L 마진율 (%),FP4 최소 W 마진율 (%),FP4 최소 L 마진율 (%),FP5 최소 W 마진율 (%),FP5 최소 L 마진율 (%),FP6 최소 W 마진율 (%),FP6 최소 L 마진율 (%)
2026-03-12,5C69,CL05B103KB54PCM,ALC4471BAP,0,A,81.9,17.7,89.4,85.8,86.2,91.6,90.2,92.4,89.9,91.2,88.2,90.1,92.7,93.6
2026-03-12,5C69,CL05B103KB54PCM,ALC4471BAP,1,A,83.8,22.7,95.2,,95.1,85.9,91.8,,96.2,85.1,95.1,,95.9,
2026-03-12,5C69,CL05B103KB54PCM,ALC4471BAP,2,A,75.7,5.3,88.1,88.7,97.0,96.0,93.8,92.9,95.1,97.0,92.0,88.1,95.3,92.6
