날짜,설비 이름,모델,ROLL,Bar 번호,Bar 등급,마진율 (%),최대이탈값,FP1 최소 W 마진율 (%),FP1 최소 L 마진율 (%),FP2 최소 W 마진율 (%),FP2 최소 L 마진율 (%),FP3 최소 W 마진율 (%),FP3 최소 L 마진율 (%),FP4 최소 W 마진율 (%),FP4 최소 L 마진율 (%),FP5 최소 W 마진율 (%),FP5 최소 L 마진율 (%),FP6 최소 W 마진율 (%),FP6 최소 L 마진율 (%)
2026-03-14,5C69,CL05B103KB54PCM,ALC4414BAP,0,A,81.6,16.7,86.0,86.7,97.3,87.3,89.5,93.3,97.8,92.2,92.8,92.1,97.8,86.0
2026-03-14,5C69,CL05B103KB54PCM,ALC4414BAP,1,A,86.1,6.6,88.5,87.9,89.5,85.8,,95.9,91.0,,93.6,94.3,86.0,90.6
2026-03-14,5C69,CL05B103KB54PCM,ALC4414BAP,2,A,76.3,29.0,87.2,91.4,86.5,93.3,88.8,87.3,92.8,91.8,95.9,89.2,94.4,85.5
