날짜,설비 이름,모델,ROLL,Bar 번호,Bar 등급,마진율 (%),최대이탈값,FP1 최소 W 마진율 (%),FP1 최소 L 마진율 (%),FP2 최소 W 마진율 (%),FP2 최소 L 마진율 (%),FP3 최소 W 마진율 (%),FP3 최소 L 마진율 (%),FP4 최소 W 마진율 (%),FP4 최소 L 마진율 (%),FP5 최소 W 마진율 (%),FP5 최소 L 마진율 (%),FP6 최소 W 마진율 (%),FP6 최소 L 마진율 (%)
2026-03-13,5C69,CL05B103KB54PCM,ALC8097BAP,0,B,84.2,6.9,90.3,90.4,88.5,86.9,94.6,,96.2,97.6,91.5,,95.8,89.3
2026-03-13,5C69,CL05B103KB54PCM,ALC8097BAP,1,A,88.8,8.6,88.8,86.6,95.2,88.1,87.6,89.8,85.9,90.9,97.6,91.4,89.7,96.3
2026-03-13,5C69,CL05B103KB54PCM,ALC8097BAP,2,A,70.9,22.6,85.7,94.1,,92.0,,92.5,93.9,95.1,94.7,94.9,93.6,
